Description,Gene_symbol
protein kinase C epsilon,PRKCE
olfactory receptor family 2 subfamily K member 2,OR2K2
jagunal homolog 1,JAGN1
relaxin 3,RLN3
transcriptional adaptor 3,TADA3
C1GALT1 specific chaperone 1,C1GALT1C1
bublin coiled coil protein,BBLN
MORN repeat containing 4,MORN4
zinc finger protein 672,ZNF672
nuclear apoptosis inducing factor 1,NAIF1
olfactory receptor family 2 subfamily M member 4,OR2M4
glutamate ionotropic receptor kainate type subunit 1,GRIK1
"mucin 7, secreted",MUC7
submaxillary gland androgen regulated protein 3B,SMR3B
tripartite motif containing 8,TRIM8
neuropilin and tolloid like 2,NETO2
casein kappa,CSN3
claudin 20,CLDN20
CDC42 binding protein kinase gamma,CDC42BPG
SCAN domain containing 1,SCAND1
"JunB proto-oncogene, AP-1 transcription factor subunit",JUNB
family with sequence similarity 241 member B,FAM241B
transmembrane protein 37,TMEM37
UDP glucuronosyltransferase family 2 member B7,UGT2B7
leucine rich alpha-2-glycoprotein 1,LRG1
SHC binding and spindle associated 1,SHCBP1
sclerostin domain containing 1,SOSTDC1
neuronal pentraxin 1,NPTX1
family with sequence similarity 98 member B,FAM98B
alpha glucosidase,GAA
calcium activated nucleotidase 1,CANT1
potassium two pore domain channel subfamily K member 3,KCNK3
zinc finger DHHC-type palmitoyltransferase 16,ZDHHC16
chromodomain helicase DNA binding protein 7,CHD7
establishment of sister chromatid cohesion N-acetyltransferase 2,ESCO2
keratin 19,KRT19
keratin 15,KRT15
keratin 38,KRT38
chloride voltage-gated channel 5,CLCN5
tubulin polymerization promoting protein,TPPP
keratin associated protein 4-4,KRTAP4-4
X antigen family member 3,XAGE3
keratin 9,KRT9
X antigen family member 5,XAGE5
phosphodiesterase 7B,PDE7B
mitochondrial ribosomal protein L36,MRPL36
N-acetyltransferase 1,NAT1
keratin 20,KRT20
glyoxalase domain containing 5,GLOD5
MCC regulator of WNT signaling pathway,MCC
keratin 27,KRT27
zinc finger and BTB domain containing 26,ZBTB26
cyclin dependent kinase 5 regulatory subunit 2,CDK5R2
dermatan sulfate epimerase like,DSEL
RNA polymerase I and III subunit C,POLR1C
ASXL transcriptional regulator 1,ASXL1
olfactory receptor family 1 subfamily L member 6,OR1L6
delta like non-canonical Notch ligand 2,DLK2
zinc finger protein 562,ZNF562
zinc finger protein 561,ZNF561
WAS/WASL interacting protein family member 2,WIPF2
HOP homeobox,HOPX
sperm acrosome associated 5B,SPACA5B
olfactory receptor family 1 subfamily L member 3,OR1L3
"SSX family member 6, pseudogene",SSX6P
NLR family pyrin domain containing 5,NLRP5
leucine rich repeat containing 8 VRAC subunit C,LRRC8C
sperm acrosome associated 5,SPACA5
ribosomal L1 domain containing 1,RSL1D1
leucine rich repeat containing 8 VRAC subunit D,LRRC8D
maestro heat like repeat family member 2B,MROH2B
olfactory receptor family 1 subfamily L member 8,OR1L8
peptidylprolyl isomerase D,PPID
olfactory receptor family 1 subfamily N member 2,OR1N2
collagen type XXIV alpha 1 chain,COL24A1
electron transfer flavoprotein dehydrogenase,ETFDH
olfactory receptor family 1 subfamily N member 1,OR1N1
prostaglandin E receptor 4,PTGER4
tubulin folding cofactor A,TBCA
neuronal differentiation 2,NEUROD2
microtubule associated protein 6,MAP6
orthopedia homeobox,OTP
endothelin converting enzyme like 1,ECEL1
BCL2 like 1,BCL2L1
olfactory receptor family 2 subfamily AT member 4,OR2AT4
RAB4B-EGLN2 readthrough (NMD candidate),RAB4B-EGLN2
zinc finger protein 584,ZNF584
DS cell adhesion molecule,DSCAM
neuromedin U receptor 1,NMUR1
calsyntenin 1,CLSTN1
CXXC finger protein 5,CXXC5
"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",PIK3CD
pre T cell antigen receptor alpha,PTCRA
ectodermal-neural cortex 1,ENC1
splA/ryanodine receptor domain and SOCS box containing 1,SPSB1
pyrimidinergic receptor P2Y6,P2RY6
bromodomain PHD finger transcription factor,BPTF
S100 calcium binding protein Z,S100Z
zinc finger protein interacting with K protein 1,ZIK1
G protein-coupled receptor 82,GPR82
G protein-coupled receptor 34,GPR34
SHANK2 antisense RNA 3,SHANK2-AS3
pleckstrin homology and RhoGEF domain containing G5,PLEKHG5
activating transcription factor 7 interacting protein,ATF7IP
LKAAEAR motif containing 1,LKAAEAR1
regulator of G protein signaling 19,RGS19
transcription elongation factor A2,TCEA2
spermatogenesis associated 46,SPATA46
vesicle amine transport 1 like,VAT1L
calmodulin binding transcription activator 1,CAMTA1
galectin 4,LGALS4
leucine rich repeat containing 34,LRRC34
phenylalanine hydroxylase,PAH
nucleoredoxin like 1,NXNL1
RAS guanyl releasing protein 4,RASGRP4
nescient helix-loop-helix 1,NHLH1
schlafen like 1,SLFNL1
BCL2 apoptosis regulator,BCL2
RAD9-HUS1-RAD1 interacting nuclear orphan 1,RHNO1
kinase non-catalytic C-lobe domain containing 1,KNDC1
WD repeat domain 87,WDR87
"methyltransferase 18, RPL3 N3(tau)-histidine",METTL18
cilia and flagella associated protein 46,CFAP46
collagen type VIII alpha 2 chain,COL8A2
PWWP domain containing 2B,PWWP2B
protocadherin beta 1,PCDHB1
angiopoietin like 7,ANGPTL7
F-box and leucine rich repeat protein 14,FBXL14
exosome component 10,EXOSC10
zinc finger protein 570,ZNF570
ninjurin 2,NINJ2
MLLT3 super elongation complex subunit,MLLT3
family with sequence similarity 90 member A1,FAM90A1
ribonucleotide reductase regulatory subunit M2,RRM2
interferon beta 1,IFNB1
ribosomal protein S21,RPS21
complement C3a receptor 1,C3AR1
mitochondrial rRNA methyltransferase 3,MRM3
ribosomal protein S7,RPS7
prion like protein doppel,PRND
prion protein (Kanno blood group),PRNP
KLF transcription factor 17,KLF17
adrenoceptor alpha 1D,ADRA1D
FERM domain containing 5,FRMD5
aquaporin 4,AQP4
MIR31 host gene,MIR31HG
cytochrome P450 family 4 subfamily F member 11,CYP4F11
talin 2,TLN2
galectin 9C,LGALS9C
trans-golgi network vesicle protein 23 homolog B,TVP23B
F-box and WD repeat domain containing 10,FBXW10
olfactory receptor family 10 subfamily H member 3,OR10H3
olfactory receptor family 10 subfamily H member 2,OR10H2
SLIT-ROBO Rho GTPase activating protein 2C,SRGAP2C
olfactory receptor family 52 subfamily A member 5,OR52A5
cytochrome P450 family 4 subfamily F member 22,CYP4F22
forkhead box B1,FOXB1
peptidylprolyl isomerase H,PPIH
chromosome 11 putative open reading frame 40,C11orf40
jumonji domain containing 1C,JMJD1C
lactate dehydrogenase A like 6B,LDHAL6B
olfactory receptor family 52 subfamily P member 2 pseudogene,OR52P2P
zinc finger protein 556,ZNF556
"mal, T cell differentiation protein",MAL
"RAB33B, member RAS oncogene family",RAB33B
thimet oligopeptidase 1,THOP1
"ankyrin repeat domain 20 family member A4, pseudogene",ANKRD20A4P
regenerating family member 3 alpha,REG3A
growth associated protein 43,GAP43
regenerating family member 1 beta,REG1B
epoxide hydrolase 4,EPHX4
laminin subunit beta 2,LAMB2
ubiquitin specific peptidase 19,USP19
glutaminyl-tRNA synthetase 1,QARS1
ORMDL sphingolipid biosynthesis regulator 3,ORMDL3
small EDRK-rich factor 1A,SERF1A
KLF transcription factor 11,KLF11
leucine rich repeat containing 15,LRRC15
"survival of motor neuron 1, telomeric",SMN1
eukaryotic translation initiation factor 2 alpha kinase 3,EIF2AK3
MOB kinase activator 3A,MOB3A
lysine rich coiled-coil 1,KRCC1
NME/NM23 nucleoside diphosphate kinase 6,NME6
"cytochrome c, somatic",CYCS
CD8 subunit beta,CD8B
calbindin 2,CALB2
olfactory receptor family 1 subfamily A member 1,OR1A1
olfactory receptor family 7 subfamily A member 2 pseudogene,OR7A2P
olfactory receptor family 1 subfamily A member 2,OR1A2
olfactory receptor family 8 subfamily I member 2,OR8I2
late cornified envelope 1D,LCE1D
C-C motif chemokine ligand 11,CCL11
FERM domain containing 3,FRMD3
syntrophin beta 1,SNTB1
MDM2 binding protein,MTBP
mitochondrial ribosomal protein L13,MRPL13
MALT1 paracaspase,MALT1
interferon stimulated exonuclease gene 20,ISG20
high mobility group nucleosome binding domain 1 pseudogene 35,HMGN1P35
olfactory receptor family 4 subfamily C member 11,OR4C11
membrane bound O-acyltransferase domain containing 1,MBOAT1
olfactory receptor family 8 subfamily U member 1,OR8U1
olfactory receptor family 4 subfamily X member 2,OR4X2
G protein-coupled receptor 22,GPR22
C-X-C motif chemokine receptor 6,CXCR6
CCAAT enhancer binding protein beta,CEBPB
azurocidin 1,AZU1
tryptase alpha/beta 1,TPSAB1
poly(A) binding protein interacting protein 1,PAIP1
C-type lectin domain containing 7A,CLEC7A
chromosome 5 open reading frame 34,C5orf34
C1q and TNF related 4,C1QTNF4
dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,DPAGT1
basigin (Ok blood group),BSG
PTPN13 like Y-linked pseudogene 4,PRYP4
chromodomain Y-linked 1,CDY1
olfactory receptor family 10 subfamily V member 1,OR10V1
CSPG4 pseudogene 4 Y-linked,CSPG4P4Y
serine palmitoyltransferase long chain base subunit 3,SPTLC3
GOLGA2 pseudogene 3 Y-linked,GOLGA2P3Y
TP53 regulating kinase,TP53RK
olfactory receptor family 5 subfamily A member 1,OR5A1
olfactory receptor family 5 subfamily A member 2,OR5A2
"POP7 homolog, ribonuclease P/MRP subunit",POP7
ALG14 UDP-N-acetylglucosaminyltransferase subunit,ALG14
succinate-CoA ligase GDP-forming subunit beta,SUCLG2
CSPG4 pseudogene 3 Y-linked,CSPG4P3Y
StAR related lipid transfer domain containing 5,STARD5
cold shock domain containing C2,CSDC2
interleukin 16,IL16
ATP binding cassette subfamily G member 4,ABCG4
chromodomain Y-linked 1B,CDY1B
G protein subunit beta 2,GNB2
cilia and flagella associated protein 53,CFAP53
olfactory receptor family 5 subfamily B member 12,OR5B12
olfactory receptor family 5 subfamily B member 2,OR5B2
NHERF family PDZ scaffold protein 4,NHERF4
C2CD2 like,C2CD2L
olfactory receptor family 9 subfamily I member 1,OR9I1
G protein subunit gamma 12,GNG12
myozenin 2,MYOZ2
synaptopodin 2,SYNPO2
DnaJ heat shock protein family (Hsp40) member B7,DNAJB7
cleavage factor polyribonucleotide kinase subunit 1,CLP1
insulin like 5,INSL5
EF-hand calcium binding domain 3,EFCAB3
tetratricopeptide repeat domain 36,TTC36
radial spoke head component 9,RSPH9
COP9 signalosome subunit 9,COPS9
GTP binding protein 2,GTPBP2
FGGY carbohydrate kinase domain containing,FGGY
olfactory receptor family 9 subfamily G member 4,OR9G4
interleukin 17D,IL17D
olfactory receptor family 5 subfamily AR member 1,OR5AR1
olfactory receptor family 5 subfamily AP member 2,OR5AP2
transcription elongation factor A like 1,TCEAL1
heat shock transcription factor Y-linked 1,HSFY1
mannosidase endo-alpha,MANEA
"RAB40A, member RAS oncogene family",RAB40A
mab-21 like 4,MAB21L4
olfactory receptor family 8 subfamily J member 1,OR8J1
olfactory receptor family 5 subfamily T member 3,OR5T3
ALF transcription elongation factor 1,AFF1
acyl-CoA thioesterase 12,ACOT12
FGF1 intracellular binding protein,FIBP
olfactory receptor family 10 subfamily H member 5,OR10H5
BTG3 associated nuclear protein,BANP
protein phosphatase 1 catalytic subunit alpha,PPP1CA
host cell factor C1,HCFC1
family with sequence similarity 170 member B,FAM170B
NIPA like domain containing 4,NIPAL4
mucin like 1,MUCL1
syntrophin gamma 2,SNTG2
fibronectin type III domain containing 9,FNDC9
phosphodiesterase 3A,PDE3A
RAS guanyl releasing protein 1,RASGRP1
kelch like family member 6,KLHL6
coiled-coil-helix-coiled-coil-helix domain containing 1,CHCHD1
mitochondrial ribosomal protein L52,MRPL52
sphingomyelin phosphodiesterase acid like 3A,SMPDL3A
RAD9 checkpoint clamp component A,RAD9A
EGF containing fibulin extracellular matrix protein 2,EFEMP2
olfactory receptor family 10 subfamily AD member 1,OR10AD1
"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",AGAP5
zinc finger matrin-type 3,ZMAT3
zinc finger AN1-type containing 4,ZFAND4
thymocyte selection associated,THEMIS
"MOS proto-oncogene, serine/threonine kinase",MOS
zinc finger protein 738,ZNF738
membrane spanning 4-domains A10,MS4A10
golgi associated RAB2 interactor family member 2,GARIN2
C-C motif chemokine ligand 19,CCL19
coronin 1B,CORO1B
fucosyltransferase 10,FUT10
leucine rich repeat containing 20,LRRC20
MUS81 structure-specific endonuclease subunit,MUS81
purine rich element binding protein G,PURG
transmembrane protein 217,TMEM217
olfactory receptor family 4 subfamily D member 9,OR4D9
ribosomal protein L12 pseudogene 13,RPL12P13
collagen type VI alpha 5 chain,COL6A5
cofilin 1,CFL1
transmembrane and coiled-coil domain family 1,TMCC1
olfactory receptor family 5 subfamily B member 3,OR5B3
EF-hand calcium binding domain 12,EFCAB12
olfactory receptor family 10 subfamily W member 1,OR10W1
proteasome activator subunit 3 interacting protein 1,PSME3IP1
"RAB43, member RAS oncogene family",RAB43
Zn regulated GTPase metalloprotein activator 1A,ZNG1A
homeobox C5,HOXC5
"RAB37, member RAS oncogene family",RAB37
decapping mRNA 2,DCP2
zinc finger and BTB domain containing 8 opposite strand pseudogene 2,ZBTB8OSP2
sorting nexin 32,SNX32
ribosomal protein L38,RPL38
cytochrome P450 family 7 subfamily B member 1,CYP7B1
ovo like transcriptional repressor 1,OVOL1
slingshot protein phosphatase 3,SSH3
pyruvate dehydrogenase phosphatase catalytic subunit 2,PDP2
Sp3 transcription factor,SP3
keratin 2,KRT2
Dmx like 1,DMXL1
zinc finger protein 621,ZNF621
EGF like domain multiple 7,EGFL7
NAD synthetase 1,NADSYN1
cytochrome c oxidase subunit 6B1 pseudogene 3,COX6B1P3
myeloma overexpressed,MYEOV
ankyrin repeat domain 13D,ANKRD13D
MAS related GPR family member F,MRGPRF
MYD88 innate immune signal transduction adaptor,MYD88
MAS related GPR family member D,MRGPRD
oxidative stress responsive kinase 1,OXSR1
alcohol dehydrogenase 6 (class V),ADH6
MIR4435-2 host gene,MIR4435-2HG
XK related 3,XKR3
FSHD region gene 2 family member C,FRG2C
unc-93 homolog B3 (pseudogene),UNC93B3
VDAC2 pseudogene 5,VDAC2P5
SH3 domain containing ring finger 3,SH3RF3
heparanase 2 (inactive),HPSE2
dephospho-CoA kinase domain containing,DCAKD
cAMP regulated phosphoprotein 21,ARPP21
transcriptional adaptor 2B,TADA2B
cilia and flagella associated protein 184,CFAP184
G protein-coupled receptor kinase 2,GRK2
"RELA proto-oncogene, NF-kB subunit",RELA
EvC ciliary complex subunit 2,EVC2
zinc finger protein 680,ZNF680
HECT domain E3 ubiquitin protein ligase 4,HECTD4
family with sequence similarity 222 member B,FAM222B
basonuclin zinc finger protein 2,BNC2
deleted in esophageal cancer 1,DELEC1
relaxin family peptide/INSL5 receptor 4,RXFP4
"coenzyme Q2, polyprenyltransferase",COQ2
coiled-coil domain containing 63,CCDC63
heat shock protein family A (Hsp70) member 6,HSPA6
tRNA methyltransferase activator subunit 11-2,TRMT112
leucine rich repeat neuronal 3,LRRN3
lysine demethylase 2A,KDM2A
acyl-CoA synthetase medium chain family member 6,ACSM6
aarF domain containing kinase 5,ADCK5
NOC3 like DNA replication regulator,NOC3L
estrogen related receptor alpha,ESRRA
ras homolog family member D,RHOD
ADAM metallopeptidase with thrombospondin type 1 motif 20,ADAMTS20
copper metabolism domain containing 1,COMMD1
Ras association (RalGDS/AF-6) and pleckstrin homology domains 1,RAPH1
metaxin 1,MTX1
adenylate cyclase 5,ADCY5
poly(ADP-ribose) polymerase family member 14,PARP14
poly(ADP-ribose) polymerase family member 15,PARP15
CDC28 protein kinase regulatory subunit 1B,CKS1B
ATP binding cassette subfamily D member 2,ABCD2
actin binding LIM protein family member 3,ABLIM3
mab-21 like 3,MAB21L3
major facilitator superfamily domain containing 4B,MFSD4B
VANGL planar cell polarity protein 1,VANGL1
glutaredoxin,GLRX
IQ motif containing B1,IQCB1
synaptotagmin 12,SYT12
golgin B1,GOLGB1
TERF1 pseudogene 1,TERF1P1
chromosome 11 open reading frame 86,C11orf86
lipase family member M,LIPM
G protein-coupled receptor 151,GPR151
doublesex and mab-3 related transcription factor 2,DMRT2
PLAC8 like 1,PLAC8L1
solute carrier family 2 member 14,SLC2A14
G protein-coupled receptor 137,GPR137
synuclein gamma,SNCG
multimerin 2,MMRN2
mitotic spindle organizing protein 2A,MZT2A
tankyrase,TNKS
zinc finger and BTB domain containing 21,ZBTB21
olfactory receptor family 10 subfamily K member 1,OR10K1
G protein-coupled receptor 148,GPR148
storkhead box 2,STOX2
tribbles pseudokinase 1,TRIB1
cystatin 9,CST9
potassium two pore domain channel subfamily K member 7,KCNK7
SFT2 domain containing 3,SFT2D3
"RNA binding motif protein Y-linked family 2 member M, pseudogene",RBMY2MP
complement C1q B chain,C1QB
complement C1q A chain,C1QA
neuron derived neurotrophic factor,NDNF
IQ motif containing F1,IQCF1
oxidized low density lipoprotein receptor 1,OLR1
GLIPR1 like 1,GLIPR1L1
INSM transcriptional repressor 1,INSM1
DAB adaptor protein 1,DAB1
"ARV1 homolog, fatty acid homeostasis modulator",ARV1
"N-alpha-acetyltransferase 20, NatB catalytic subunit",NAA20
interactor of HORMAD1 1,IHO1
ribonuclease A family member 8,RNASE8
serum amyloid A1,SAA1
mitochondrial contact site and cristae organizing system subunit 10,MICOS10
EH domain binding protein 1 like 1,EHBP1L1
THAP domain containing 2,THAP2
protein phosphatase 1 regulatory inhibitor subunit 14B,PPP1R14B
ribonuclease A family member 11 (inactive),RNASE11
zinc ribbon domain containing 2,ZNRD2
"anterior gradient 3, protein disulphide isomerase family member",AGR3
SWI/SNF related BAF chromatin remodeling complex subunit C1,SMARCC1
protein tyrosine phosphatase receptor type M,PTPRM
FKBP prolyl isomerase 2,FKBP2
pseudopodium enriched atypical kinase 1,PEAK1
TNF receptor superfamily member 10d,TNFRSF10D
macrophage stimulating 1,MST1
TNF receptor superfamily member 10c,TNFRSF10C
sorting nexin 33,SNX33
ciliary microtubule inner protein 2C,CIMIP2C
nucleic acid binding protein 1,NABP1
adhesion G protein-coupled receptor F3,ADGRF3
NLR family pyrin domain containing 13,NLRP13
chromodomain helicase DNA binding protein 2,CHD2
X-C motif chemokine receptor 1,XCR1
coiled-coil domain containing 106,CCDC106
C-C motif chemokine receptor 9,CCR9
centrosomal protein 83,CEP83
sulfotransferase family 1B member 1,SULT1B1
nudix hydrolase 4,NUDT4
pyruvate carboxylase,PC
UDP glucuronosyltransferase family 2 member A1 complex locus,UGT2A1
suppressor of cancer cell invasion,SCAI
G protein-coupled receptor class C group 6 member A,GPRC6A
nicotinamide nucleotide adenylyltransferase 1,NMNAT1
leucine rich repeat and fibronectin type III domain containing 4,LRFN4
trafficking protein particle complex subunit 3L,TRAPPC3L
apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4,APOBEC4
heat shock protein family B (small) member 7,HSPB7
Ras converting CAAX endopeptidase 1,RCE1
ubiquinol-cytochrome c reductase hinge protein,UQCRH
taste 1 receptor member 1,TAS1R1
hes family bHLH transcription factor 3,HES3
eukaryotic translation initiation factor 1A X-linked,EIF1AX
speedy/RINGO cell cycle regulator family member E2B,SPDYE2B
olfactory receptor family 1 subfamily L member 1,OR1L1
BCLAF1 and THRAP3 family member 3,BCLAF3
"proteasome 26S subunit, non-ATPase 1",PSMD1
adhesion G protein-coupled receptor G2,ADGRG2
spermatogenesis associated 3,SPATA3
"mucin 13, cell surface associated",MUC13
sushi domain containing 5,SUSD5
heart development protein with EGF like domains 1,HEG1
"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",WFIKKN2
translocase of outer mitochondrial membrane 20,TOMM20
FAU pseudogene 4,FAUP4
sperm microtubule inner protein 3,SPMIP3
ArfGAP with FG repeats 1,AGFG1
CD7 molecule,CD7
testis and ovary specific TOPAZ 1,TOPAZ1
"2',3'-cyclic nucleotide 3' phosphodiesterase",CNP
huntingtin associated protein 1,HAP1
tudor domain containing 12,TDRD12
peptidylprolyl isomerase A pseudogene 7,PPIAP7
CCDC13 antisense RNA 1,CCDC13-AS1
tigger transposable element derived 3,TIGD3
membrane associated ring-CH-type finger 10,MARCHF10
polo like kinase 3,PLK3
neuroepithelial cell transforming 1,NET1
dpy-19 like C-mannosyltransferase 1,DPY19L1
uncharacterized FLJ20712,FLJ20712
phosphoethanolamine/phosphocholine phosphatase 1,PHOSPHO1
zinc finger protein 791,ZNF791
polyhomeotic homolog 3,PHC3
G protein-coupled receptor 160,GPR160
chromobox 2,CBX2
"spectrin beta, non-erythrocytic 2",SPTBN2
keratin 28,KRT28
RNA binding motif protein 4B,RBM4B
ATP synthase membrane subunit k,ATP5MK
homeobox B2,HOXB2
C1q and TNF related 1,C1QTNF1
membrane associated ring-CH-type finger 3,MARCHF3
SWIM-type zinc finger 7 associated protein 1,SWSAP1
RNA binding motif protein 4,RBM4
ciliary microtubule associated protein 3,CIMAP3
SNRPN upstream open reading frame like (pseudogene),SNURFL
UBX domain protein 2A,UBXN2A
COMMD5 pseudogene 1,COMMD5P1
retina and anterior neural fold homeobox 2,RAX2
leucine rich repeat containing 63,LRRC63
titin-cap,TCAP
centrosomal protein 19,CEP19
kelch like family member 15,KLHL15
F-box protein 45,FBXO45
chibby family member 2,CBY2
G protein subunit gamma 5,GNG5
"family with sequence similarity 3 member C2, pseudogene",FAM3C2P
SPATA31 subfamily G member 1,SPATA31G1
CD34 molecule,CD34
methionine sulfoxide reductase B3,MSRB3
LEM domain containing 3,LEMD3
ubiquinol-cytochrome c reductase complex assembly factor 4,UQCC4
toll like receptor 10,TLR10
toll like receptor 1,TLR1
toll like receptor 6,TLR6
family with sequence similarity 174 member A,FAM174A
repulsive guidance molecule BMP co-receptor b,RGMB
family with sequence similarity 53 member A,FAM53A
NACHT and WD repeat domain containing 2,NWD2
cytochrome b561 family member D1,CYB561D1
glutathione S-transferase alpha 3,GSTA3
zinc finger DHHC-type containing 24,ZDHHC24
uncharacterized LOC105370792,LOC105370792
"tRNA methyltransferase 10C, mitochondrial RNase P subunit",TRMT10C
selectin P,SELP
MAX dimerization protein MGA,MGA
ARF like GTPase 13A,ARL13A
sorting nexin 31,SNX31
phosphatidylinositol glycan anchor biosynthesis class G (EMM blood group),PIGG
pre-mRNA processing factor 8,PRPF8
adenylate cyclase 6,ADCY6
phosphatidylinositol transfer protein alpha,PITPNA
DEAD-box helicase 23,DDX23
zinc finger HIT-type containing 2,ZNHIT2
even-skipped homeobox 2,EVX2
zinc finger and BTB domain containing 4,ZBTB4
tyrosine kinase non receptor 1,TNK1
zinc fingers and homeoboxes 3,ZHX3
pleckstrin homology like domain family A member 3,PHLDA3
disrupted in renal carcinoma 1,DIRC1
GLIS family zinc finger 1,GLIS1
olfactory receptor family 2 subfamily Y member 1,OR2Y1
cholinergic receptor nicotinic alpha 9 subunit,CHRNA9
STAG3 cohesin complex component like 3 (pseudogene),STAG3L3
small nucleolar RNA host gene 11,SNHG11
KCNJ5 antisense RNA 1,KCNJ5-AS1
Ral GTPase activating protein catalytic subunit alpha 1,RALGAPA1
"PMS1 homolog 2, mismatch repair system component pseudogene 6",PMS2P6
cardiomyocyte maturation associated lncRNA,CRMA
MIR1-1 host gene,MIR1-1HG
peptidylprolyl isomerase A pseudogene 24,PPIAP24
thyrotropin releasing hormone receptor,TRHR
ribosomal protein L35 pseudogene 9,RPL35P9
GTF2I repeat domain containing 2B,GTF2IRD2B
actin binding Rho activating protein,ABRA
ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,ATP2A2
zwilch kinetochore protein,ZWILCH
ribosomal protein L4,RPL4
small nuclear RNA activating complex polypeptide 5,SNAPC5
StAR related lipid transfer domain containing 6,STARD6
golgin A6 family like 2,GOLGA6L2
von Willebrand factor C domain containing 2 like,VWC2L
chromosome 12 open reading frame 76,C12orf76
zinc finger CCHC-type containing 12,ZCCHC12
contactin associated protein 2,CNTNAP2
polypeptide N-acetylgalactosaminyltransferase like 6,GALNTL6
leucine rich repeat and Ig domain containing 2,LINGO2
Bardet-Biedl syndrome 1,BBS1
DENN domain containing 4A,DENND4A
peptidylprolyl isomerase A pseudogene 80,PPIAP80
immunoglobulin superfamily DCC subclass member 3,IGDCC3
germinal center associated signaling and motility,GCSAM
ankyrin repeat domain 36C,ANKRD36C
major facilitator superfamily domain containing 4A,MFSD4A
pellino E3 ubiquitin protein ligase family member 3,PELI3
tetratricopeptide repeat domain 9B,TTC9B
myosin IH,MYO1H
mitochondrial ribosomal protein L11,MRPL11
kallikrein related peptidase 15,KLK15
interleukin 20 receptor subunit beta,IL20RB
golgi transport 1A,GOLT1A
ribosomal protein L10 pseudogene 2,RPL10P2
akirin 1,AKIRIN1
neuronal PAS domain protein 4,NPAS4
MSL complex subunit 2,MSL2
translocation associated membrane protein 1 like 1,TRAM1L1
chemerin chemokine-like receptor 1,CMKLR1
angel homolog 2,ANGEL2
UDP glycosyltransferase 8,UGT8
IQ motif containing K,IQCK
olfactory receptor family 7 subfamily D member 4,OR7D4
BR serine/threonine kinase 2,BRSK2
"vomeronasal 1 receptor 6, pseudogene",VN1R6P
"family with sequence similarity 47 member D, pseudogene",FAM47DP
GRIK1 antisense RNA 1,GRIK1-AS1
SH3 and PX domains 2B,SH3PXD2B
peptidylprolyl isomerase A pseudogene 72,PPIAP72
"La ribonucleoprotein 7, transcriptional regulator",LARP7
fibroblast growth factor binding protein 3,FGFBP3
poly(A) binding protein cytoplasmic 5,PABPC5
BRMS1 transcriptional repressor and anoikis regulator,BRMS1
ribosomal protein L15,RPL15
family with sequence similarity 241 member A,FAM241A
"HRas proto-oncogene, GTPase",HRAS
WD repeat domain 49,WDR49
signal recognition particle 72,SRP72
Purkinje cell protein 2,PCP2
THAP domain containing 6,THAP6
centrosomal protein 135,CEP135
frizzled class receptor 4,FZD4
CD248 molecule,CD248
PDZ domain containing 1,PDZK1
DENN domain containing 6A,DENND6A
phosphodiesterase 12,PDE12
"glomulin, FKBP associated protein",GLMN
"Yip1 interacting factor homolog A, membrane trafficking protein",YIF1A
amylase alpha 1B,AMY1B
NLR family pyrin domain containing 6,NLRP6
NADH:ubiquinone oxidoreductase subunit A11,NDUFA11
arginine and serine rich coiled-coil 1,RSRC1
cation channel sperm associated auxiliary subunit delta,CATSPERD
"RAB1B, member RAS oncogene family",RAB1B
methyltransferase like 15 pseudogene 1,METTL15P1
olfactory receptor family 9 subfamily G member 1,OR9G1
mitochondrial contact site and cristae organizing system subunit 13,MICOS13
chromosome 3 open reading frame 33,C3orf33
vomeronasal 2 receptor 1 pseudogene,VN2R1P
olfactory receptor family 5 subfamily M member 3,OR5M3
seizure related 6 homolog like 2,SEZ6L2
aspartate beta-hydroxylase domain containing 1,ASPHD1
potassium channel tetramerization domain containing 13,KCTD13
purinergic receptor P2Y14,P2RY14
archaelysin family metallopeptidase 1,AMZ1
G protein-coupled receptor 171,GPR171
G protein-coupled receptor 149,GPR149
CD164 molecule like 2,CD164L2
fucosyltransferase 1 (H blood group),FUT1
DEAH-box helicase 36,DHX36
olfactory receptor family 5 subfamily J member 2,OR5J2
Zic family member 4,ZIC4
olfactory receptor family 10 subfamily AG member 1,OR10AG1
PAIP1 pseudogene 2,PAIP1P2
olfactory receptor family 4 subfamily S member 2,OR4S2
F-box and WD repeat domain containing 8,FBXW8
carbonic anhydrase 5A,CA5A
zymogen granule protein 16,ZG16
testis expressed 36,TEX36
C-terminal binding protein 2,CTBP2
zinc finger DHHC-type palmitoyltransferase 14,ZDHHC14
ATR serine/threonine kinase,ATR
small nucleolar RNA host gene 29,SNHG29
ubiquitin conjugating enzyme E2 C,UBE2C
desmoglein 4,DSG4
valosin containing protein interacting protein 1,VCPIP1
receptor transporter protein 1,RTP1
PDLIM1 interacting kinase 1 like,PDIK1L
splA/ryanodine receptor domain and SOCS box containing 4,SPSB4
